,Skill,ExpSalary
0,SQL,-60880.38231757134
1,Python,-67182.25597472038
2,Apache Airflow,-140641.22987344136
3,Greenplum,114621.01792351893
4,Apache Spark,106018.53640195818
5,Git,-1109.5121037003119
6,Agile,-129085.69646477708
7,Администрирование Linux,145976.9622486335
8,Docker,-12854.182181073033
9,Bash,-39052.092566432315
10,Microsoft Excel,186575.63133979778
11,Анализ данных,-478037.08807301347
12,Математическая статистика,423490.90633643186
13,Визуализация,-323732.3721743202
14,1C: ERP,-39369.921686106114
15,Linux,-4986.371989274659
16,OSPF,4945.89485404201
17,BGP,4945.894854033264
18,Border Gateway Protocol,23391.659710095322
19,Работа в команде,-14168.048145144363
20,Грамотность,147212.10765339885
21,Пунктуальность,-299388.81673891086
22,Управление проектами,-13248.315297223962
23,Ansible,149571.56486835028
24,Puppet,-240183.4289911685
25,CI/CD,52790.62708197765
26,Разработка под 1С,-21684.80911088896
27,C#,-39576.57106132294
28,.NET,-189770.7591739801
29,PostgreSQL,22513.72173972521
30,Apache Kafka,-94504.89165771582
31,ClickHouse,149376.32790841977
32,Дизайн упаковки,-75851.46128555265
33,Допечатная подготовка,-75851.46128555233
34,PHP,23933.640678906435
35,Битрикс24,-142253.27082443726
36,Управление людьми,277329.05881593726
37,Управление контентом,164171.0711820398
38,Английский язык,-113203.0525690823
39,Adobe Photoshop,-32717.549477786408
40,Figma Design,-186702.92257110862
41,Adobe Illustrator,107717.54947779127
42,UML,137134.87257999496
43,BPMN,-122032.46892266985
44,Системный анализ,21310.818430197476
45,Openstack,-33837.4456499549
46,Yandex.Cloud,-191853.80077432244
47,Terraform,54866.35254701675
48,Kubernetes,54704.50323186911
49,Prometheus,-160551.7788702781
50,Centos,192290.32881299464
51,Blender,-82767.19012970306
52,3d моделирование,11064.2675585999
53,DWH,-596625.8304717779
54,TensorFlow,-93252.48765289184
55,PyTorch,249402.55053829908
56,Машинное обучение,273344.5769711271
57,Управление разработкой,96075.33844705895
